college_name,location,year,specialization,state,owned
World University of Design ,Sonipat ,2018,"Design, Management ",Haryana,P
Abhilashi University ,Mandi ,2015,General ,Himachal Pradesh,P
Alakh Prakash Goyal University ,Shimla ,2012,General ,Himachal Pradesh,P
Arni University ,Kangra ,2009,General ,Himachal Pradesh,P
Baddi University of Emerging Sciences and Technologies ,Baddi ,2009,Technology ,Himachal Pradesh,P
Bahra University ,Waknaghat ,2011,General ,Himachal Pradesh,P
"Career Point University, Hamirpur ",Bhoranj ,2012,General ,Himachal Pradesh,P
"Chitkara University, Himachal Pradesh ",Solan ,2009,"Technology, Applied Science ",Himachal Pradesh,P
Eternal University ,Baru Sahib ,2008,General ,Himachal Pradesh,P
"ICFAI University, Himachal Pradesh ",Solan ,2011,"Technology, Management ",Himachal Pradesh,P
IEC University ,Solan ,2012,General ,Himachal Pradesh,P
Indus International University ,Haroli ,2010,General ,Himachal Pradesh,P
Jaypee University of Information Technology ,Waknaghat ,2002,Information Technology ,Himachal Pradesh,P
Maharaja Agrasen University ,Solan ,2013,General ,Himachal Pradesh,P
"Maharishi Markandeshwar University, Solan ",Solan ,2010,General ,Himachal Pradesh,P
Manav Bharti University ,Solan ,2009,General ,Himachal Pradesh,P
Shoolini University of Biotechnology and Management Sciences ,Solan ,2009,Biotechnology ,Himachal Pradesh,P
Sri Sai University ,Palampur ,2011,General ,Himachal Pradesh,P
"AISECT University, Jharkhand ",Hazaribagh ,2016,General ,Jharkhand,P
"Amity University, Jharkhand ",Ranchi ,2016,General ,Jharkhand,P
Arka Jain University ,Jamshedpur ,2017,General ,Jharkhand,P
"Capital University, Jharkhand ",Koderma ,2018,General ,Jharkhand,P
"ICFAI University, Jharkhand ",Ranchi ,2008,Management ,Jharkhand,P
Jharkhand Rai University ,Ranchi ,2012,General ,Jharkhand,P
Netaji Subhas University ,Jamshedpur ,2018,Management ,Jharkhand,P
Pragyan International University ,Ranchi ,2016,General ,Jharkhand,P
Radha Govind University ,Ramgarh ,2018,General ,Jharkhand,P
Sai Nath University ,Ranchi ,2012,General ,Jharkhand,P
Sarala Birla University ,Ranchi ,2017,General ,Jharkhand,P
Usha Martin University ,Ranchi ,2014,General ,Jharkhand,P
YBN University ,Ranchi ,2017,General ,Jharkhand,P
Adichunchanagiri University ,Mandya ,2018,General ,Karnataka,P
Alliance University ,Bangalore ,2010,Management ,Karnataka,P
Azim Premji University ,Bangalore ,2010,General ,Karnataka,P
CMR University ,Bangalore ,2013,General ,Karnataka,P
Dayananda Sagar University ,Bangalore ,2014,General ,Karnataka,P
Garden City University ,Bangalore ,2013,General ,Karnataka,P
Institute of Trans-Disciplinary Health Sciences and Technology ,Bangalore ,2013,Health Sciences ,Karnataka,P
JSS Science and Technology University ,Mysore ,2016,Science and Technology ,Karnataka,P
Khaja Bandanawaz University ,Kalaburagi ,2018,General ,Karnataka,P
KLE Technological University ,Hubli ,2015,Technology ,Karnataka,P
M. S. Ramaiah University of Applied Sciences ,Bangalore ,2013,General ,Karnataka,P
PES University ,Bangalore ,2013,General ,Karnataka,P
Rai Technology University ,Bangalore ,2014,General ,Karnataka,P
REVA University ,Bangalore ,2013,General ,Karnataka,P
Presidency University ,Bangalore ,2013,"Technology, Management ",Karnataka,P
Sharnbasva University ,Kalaburagi ,2017,General ,Karnataka,P
Srinivas University ,Mangalore ,2015,General ,Karnataka,P
AKS University ,Satna ,2011,"Agricultural, Technology ",Madhya Pradesh,P
"Amity University, Gwalior ",Gwalior ,2010,General ,Madhya Pradesh,P
Avantika University ,Ujjain ,2017,"Technology, Design ",Madhya Pradesh,P
Bhabha University ,Bhopal ,2018,General ,Madhya Pradesh,P
Dr. A.P.J. Abdul Kalam University ,Indore ,2016,General ,Madhya Pradesh,P
"Dr. C.V. Raman University, Khandwa ",Khandwa ,2018,General ,Madhya Pradesh,P
G.H. Raisoni University ,Chhindwara ,2016,General ,Madhya Pradesh,P
"ITM University, Gwalior ",Gwalior ,2011,General ,Madhya Pradesh,P
Jagran Lakecity University ,Bhopal ,2013,General ,Madhya Pradesh,P
Jaypee University of Engineering and Technology ,Guna ,2010,Technology ,Madhya Pradesh,P
LNCT University ,Bhopal ,2015,General ,Madhya Pradesh,P
Mandsaur University ,Mandsaur ,2016,General ,Madhya Pradesh,P
Oriental University ,Indore ,2011,General ,Madhya Pradesh,P
People's University ,Bhopal ,2011,Healthcare ,Madhya Pradesh,P
Rabindranath Tagore University ,Bhopal ,2010,General ,Madhya Pradesh,P
RKDF University ,Bhopal ,2011,"Science, Technology ",Madhya Pradesh,P
Sage University ,Indore ,2017,General ,Madhya Pradesh,P
Sri Satya Sai University of Technology & Medical Sciences ,Madhya Pradesh ,2014,Medicine ,Madhya Pradesh,P
Ajeenkya DY Patil University ,Pune ,2015,General ,Maharashtra,P
"Amity University, Mumbai ",Mumbai ,2014,General ,Maharashtra,P
MIT - World Peace University ,Pune ,2017,General ,Maharashtra,P
FLAME University ,Pune ,2015,General ,Maharashtra,P
"Sandip University, Nashik ",Nashik ,2015,General ,Maharashtra,P
Sanjay Ghodawat University ,Kolhapur ,2017,General ,Maharashtra,P
Spicer Adventist University ,Pune ,2014,General ,Maharashtra,P
Symbiosis Skills and Open University ,Pune ,2017,General ,Maharashtra,P
Vishwakarma University ,Pune ,2017,General ,Maharashtra,P
Manipur International University ,Imphal ,2018,General ,Manipur,P
Sangai International University ,Churachandpur ,2015,General ,Manipur,P
CMJ University ,Shillong ,2009,General ,Meghalaya,P
"Institute of Chartered Financial Analysts of India University, Meghalaya ",Tura ,2009,Management ,Meghalaya,P
Mahatma Gandhi University ,Nongpoh ,2011,Management ,Meghalaya,P
Martin Luther Christian University ,Shillong ,2005,General ,Meghalaya,P
Techno Global University ,Shillong ,2008,Technology ,Meghalaya,P
"University of Science and Technology, Meghalaya (USTM) ",Ri-Bhoi ,2008,"Technology, Management ",Meghalaya,P
University of Technology and Management ,Shillong ,2011,"Technology, Management ",Meghalaya,P
William Carey University ,Shillong ,2005,General ,Meghalaya,P
"Institute of Chartered Financial Analysts of India University, Mizoram ",Aizawl ,2006,Management ,Mizoram,P
The Global Open University Nagaland ,Dimapur ,2006,Distance education ,Nagaland,P
"Institute of Chartered Financial Analysts of India University, Nagaland ",Dimapur ,2009,Management ,Nagaland,P
St. Joseph University ,Dimapur ,2016,"Technology, Management ",Nagaland,P
AIPH University ,Bhubaneswar ,2018,Public health ,Odisha,P
ASBM University ,Bhubaneswar ,2019,Management ,Odisha,P
Birla Global University ,Bhubaneswar ,2013,Social Sciences and Management ,Odisha,P
Centurion University of Technology and Management,Bhubaneswar ,2010,"Technology, Management ",Odisha,P
GIET University ,Gunupur ,2018,General ,Odisha,P
Sri Sri University ,Cuttack ,2009,"Humanities, Social Sciences ",Odisha,P
Xavier University ,Bhubaneswar ,2013,Social Sciences and Management ,Odisha,P
"CT University, Punjab ",Ludhiana ,2017,General ,Punjab,P
Desh Bhagat University ,Mandi Gobindgarh ,2012,General ,Punjab,P
"Chitkara University, Punjab ",Rajpura ,2010,General ,Punjab,P
Chandigarh University ,Gharuan ,2012,General ,Punjab,P
Lovely Professional University ,Phagwara ,2006,General ,Punjab,P
RIMT University ,Mandi Gobindgarh ,2015,General ,Punjab,P
Sri Guru Granth Sahib World University ,Fatehgarh Sahib ,2008,General ,Punjab,P
"Amity University, Jaipur ",Jaipur ,2008,General ,Rajasthan,P
RNB Global University ,Bikaner ,2015,General ,Rajasthan,P
"University of Engineering & Management (UEM), Jaipur ",Jaipur ,2012,General ,Rajasthan,P
Bhagwant University ,Ajmer ,2008,Technology ,Rajasthan,P
Dr. K.N.Modi University ,Newai ,2010,Technology ,Rajasthan,P
Homoeopathy University ,Jaipur ,2010,Homoeopathy ,Rajasthan,P
"ICFAI University, Jaipur ",Jaipur ,2011,Management ,Rajasthan,P
Jagannath University ,Jaipur ,2008,General ,Rajasthan,P
Jaipur National University ,Jaipur ,2007,General ,Rajasthan,P
Vivekananda Global University ,Jaipur ,2012,General ,Rajasthan,P
Jayoti Vidyapeeth Women's University ,Jaipur ,2008,Women's only ,Rajasthan,P
Jodhpur National University ,Jodhpur ,2008,General ,Rajasthan,P
JK Lakshmipat University ,Jaipur ,2011,"Technology, Management ",Rajasthan,P
Madhav University ,Sirohi ,2014,General ,Rajasthan,P
Mahatma Jyoti Rao Phoole University ,Jaipur ,2009,General ,Rajasthan,P
Manipal University Jaipur ,Jaipur ,2011,General ,Rajasthan,P
Mewar University,Chittorgarh ,2008,General ,Rajasthan,P
NIIT University ,Neemrana ,2010,"Technology, Management ",Rajasthan,P
Geetanjali University ,Udaipur ,2011,Medicine ,Rajasthan,P
NIMS University ,Jaipur ,2008,General ,Rajasthan,P
Pacific University ,Udaipur ,2010,General ,Rajasthan,P
Pratap University ,Jaipur ,2011,General ,Rajasthan,P
Raffles University ,Neemrana ,2011,General ,Rajasthan,P
Singhania University ,Jhunjhunu ,2008,General ,Rajasthan,P
Sir Padampat Singhania University ,Udaipur ,2008,"Technology, Management ",Rajasthan,P
Sunrise University ,Alwar ,2011,General ,Rajasthan,P
Suresh Gyan Vihar University ,Jaipur ,2008,General ,Rajasthan,P
Shri Khushal Das University ,Hanumangarh ,2018,General ,Rajasthan,P
"Institute of Chartered Financial Analysts of India University, Sikkim ",Gangtok ,2004,Management ,Sikkim,P
Sikkim Manipal University ,Gangtok ,1995,General ,Sikkim,P
Vinayaka Missions Sikkim University ,Gangtok ,2008,General ,Sikkim,P
"Institute of Chartered Financial Analysts of India University, Tripura ",Agartala ,2004,Management ,Tripura,P
"Amity University, Noida ",Noida ,2005,General ,Uttar Pradesh,P
Babu Banarasi Das University ,Lucknow ,2010,General ,Uttar Pradesh,P
Galgotias University ,Greater Noida ,2011,General ,Uttar Pradesh,P
Sanskriti University ,Mathura ,2016,General ,Uttar Pradesh,P
GLA University ,Mathura ,2010,"Technology, Management ",Uttar Pradesh,P
IFTM University ,Moradabad ,2010,Technology ,Uttar Pradesh,P
Integral University,Lucknow ,2004,Technology ,Uttar Pradesh,P
Invertis University ,Bareilly ,2010,Technology ,Uttar Pradesh,P
Jagadguru Rambhadracharya Handicapped University,Chitrakoot ,2001,Special ,Uttar Pradesh,P
Mangalayatan University ,Aligarh ,2006,General ,Uttar Pradesh,P
Mohammad Ali Jauhar University ,Rampur ,2006,General ,Uttar Pradesh,P
Sharda University ,Greater Noida ,2009,General ,Uttar Pradesh,P
Shiv Nadar University ,Greater Noida ,2011,General ,Uttar Pradesh,P
Shobhit University ,Gangoh ,2012,General ,Uttar Pradesh,P
Shri Venkateshwara University ,Gajraula ,2010,Technology ,Uttar Pradesh,P
Swami Vivekanand Subharti University ,Meerut ,2008,General ,Uttar Pradesh,P
Teerthanker Mahaveer University ,Moradabad ,2008,General ,Uttar Pradesh,P
IIMT University ,Meerut ,2016,General ,Uttar Pradesh,P
The Glocal University,Saharanpur ,2012,General ,Uttar Pradesh,P
Dev Sanskriti Vishwavidyalaya ,Haridwar ,2002,General ,Uttarakhand,P
DIT University ,Dehradun ,2013,Technology ,Uttarakhand,P
Graphic Era Hill University ,Dehradun ,2011,General ,Uttarakhand,P
Himalayan Garhwal University ,Pauri Garhwal ,2016,General ,Uttarakhand,P
Himgiri Zee University ,Dehradun ,2003,General ,Uttarakhand,P
Swami Rama Himalayan University ,Dehradun ,2012,"Medicine, Technology ",Uttarakhand,P
"ICFAI University, Dehradun ",Dehradun ,2003,General ,Uttarakhand,P
University of Petroleum and Energy Studies ,Dehradun ,2003,Energy ,Uttarakhand,P
University of Patanjali ,Haridwar ,2002,Yoga ,Uttarakhand,P
Quantum University ,Roorkee ,2017,"Technology, Management ",Uttarakhand,P
