college_name,location,year,specialization,state,owned
Vinayaka Mission's Research Foundation ,Salem ,1981,Multidisciplinary ,Tamil Nadu ,D
Vellore Institute of Technology ,Vellore ,1984,Technology ,Tamil Nadu ,D
ICFAI Foundation for Higher Education ,Hyderabad ,1995,"Technology, Management ",Telangana ,D
"International Institute of Information Technology, Hyderabad ",Hyderabad ,1998,Technology ,Telangana ,D
Bhatkhande Music Institute ,Lucknow ,1926,Music ,Uttar Pradesh ,D
Central Institute of Higher Tibetan Studies ,Varanasi ,1967,Tibetan Studies ,Uttar Pradesh ,D
Dayalbagh Educational Institute ,Agra ,1917,Multidisciplinary ,Uttar Pradesh ,D
Indian Veterinary Research Institute ,Bareilly ,1889,Veterinary Science ,Uttar Pradesh ,D
Jaypee Institute of Information Technology ,Noida ,2001,Technology ,Uttar Pradesh ,D
Nehru Gram Bharati ,Allahabad ,1962,Multidisciplinary ,Uttar Pradesh ,D
Santosh (Deemed to be University) ,Ghaziabad ,1995,Medical Sciences ,Uttar Pradesh ,D
Shobhit Institute of Engineering & Technology ,Meerut ,2000,Technology ,Uttar Pradesh ,D
Forest Research Institute ,Dehradun ,1906,Forestry ,Uttarakhand ,D
Graphic Era (Deemed to be University) ,Dehradun ,1993,"Technology, Management ",Uttarakhand ,D
Gurukul Kangri Vishwavidyalaya ,Haridwar ,1902,Multidisciplinary ,Uttarakhand ,D
Ramakrishna Mission Vivekananda Educational and Research Institute ,Belur ,2005,Multidisciplinary ,West Bengal ,D
Padmashree Dr. D. Y. Patil Vidyapeeth ,Navi Mumbai ,2002,Medical Sciences ,Maharashtra ,D
Central Institute of Buddhist Studies ,Leh ,1959,Buddhist Studies ,Jammu & Kashmir ,D
Chinmaya Vishwavidyapeeth ,Ernakulam ,2016,Indic Studies ,Kerala ,D
National Institute of Food Technology Entrepreneurship and Management ,Sonipat ,2006,Food Sciences ,Haryana ,D
Indian Association for the Cultivation of Science ,Kolkata ,1876,Sciences ,West Bengal ,D
National Rail and Transportation Institute ,Vadodra ,2018,Railway Education ,Gujarat ,D
Kalinga Institute of Social Sciences ,Bhubaneswar ,1993,Tribal Education ,Odisha ,D
Central University of Andhra Pradesh,Anantapur ,2019,General ,Andhra Pradesh ,C
Rajiv Gandhi University ,Itanagar ,1985,General ,Arunachal Pradesh ,C
Assam University ,Silchar ,1994,General ,Assam ,C
Tezpur University ,Tezpur ,1994,General ,Assam ,C
Central University of South Bihar ,Gaya ,2009,General ,Bihar ,C
Mahatma Gandhi Central University ,Motihari ,2016,General ,Bihar ,C
Nalanda University,"Rajgir, Nalanda ",2010,General ,Bihar ,C
Dr. Rajendra Prasad Central Agriculture University,"Pusa, Samastipur ",1905,Agriculture ,Bihar ,C
Guru Ghasidas Vishwavidyalaya ,Bilaspur ,1983,General ,Chhattisgarh ,C
Indira Gandhi National Open University,New Delhi ,1985,Distance education ,Delhi ,C
Jamia Millia Islamia ,New Delhi ,1920,General ,Delhi ,C
"Jawaharlal Nehru University, Delhi ",New Delhi ,1969,General ,Delhi ,C
South Asian University,New Delhi ,2010,International university ,Delhi ,C
University of Delhi ,New Delhi ,1922,General ,Delhi ,C
Central University of Gujarat,Gandhinagar ,2009,General ,Gujarat ,C
Central University of Haryana,Mahendragarh ,2009,General ,Haryana ,C
Central University of Himachal Pradesh,Dharamsala ,2009,General ,Himachal Pradesh ,C
Central University of Jammu,Jammu ,2011,General ,Jammu and Kashmir ,C
Central University of Kashmir,Srinagar ,2009,General ,Jammu and Kashmir ,C
Central University of Jharkhand,Ranchi ,2009,General ,Jharkhand ,C
Central University of Karnataka,Kalaburagi ,2009,General ,Karnataka ,C
Central University of Kerala,Kasaragod ,2009,General ,Kerala ,C
Dr. Hari Singh Gour University ,Sagar ,1946,General ,Madhya Pradesh ,C
Indira Gandhi National Tribal University ,Amarkantak ,2007,General ,Madhya Pradesh ,C
Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya ,Wardha ,1997,Hindi language ,Maharashtra ,C
Central Agricultural University,Imphal ,1993,Agriculture ,Manipur ,C
Manipur University ,Imphal ,1980,General ,Manipur ,C
National Sports University,Imphal ,2018,Sports ,Manipur ,C
North Eastern Hill University ,Shillong ,1973,General ,Meghalaya ,C
Mizoram University ,Aizawl ,2000,General ,Mizoram ,C
Nagaland University ,Lumami ,1994,General ,Nagaland ,C
Central University of Odisha,Koraput ,2009,General ,Odisha ,C
Pondicherry University ,Pondicherry ,1985,General ,Puducherry ,C
Central University of Punjab,Bathinda ,2009,General ,Punjab ,C
Central University of Rajasthan,Ajmer ,2009,General ,Rajasthan ,C
Sikkim University ,Gangtok ,2007,General ,Sikkim ,C
Central University of Tamil Nadu,Tiruvarur ,2009,General ,Tamil Nadu ,C
Indian Maritime University,Chennai ,2008,Marine science ,Tamil Nadu ,C
English and Foreign Languages University ,Hyderabad ,1958,English and Foreign languages ,Telangana,C
Maulana Azad National Urdu University ,Hyderabad ,1998,Urdu language ,Telangana,C
University of Hyderabad ,Hyderabad ,1974,General ,Telangana,C
Tripura University ,Agartala ,1987,General ,Tripura ,C
Aligarh Muslim University ,Aligarh ,1920,General ,Uttar Pradesh ,C
University of Allahabad ,Prayagraj ,1887,General ,Uttar Pradesh ,C
Babasaheb Bhimrao Ambedkar University ,Lucknow ,1996,General ,Uttar Pradesh ,C
Banaras Hindu University ,Varanasi ,1916,General ,Uttar Pradesh ,C
Rajiv Gandhi National Aviation University,Raebareli ,2013,Aviation Science ,Uttar Pradesh ,C
Rani Lakshmi Bai Central Agricultural University,Jhansi ,2014,Agriculture ,Uttar Pradesh ,C
Hemwati Nandan Bahuguna Garhwal University ,Srinagar ,1973,General ,Uttarakhand ,C
Visva-Bharati University ,Santiniketan ,1921,General ,West Bengal ,C
